borough_new,BarkingandDagenham,Barnet,Bexley,Brent,Bromley,Camden,CityofLondon,Croydon,Ealing,Enfield,Greenwich,Hackney,HammersmithandFulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,KensingtonandChelsea,KingstonuponThames,Lambeth,Lewisham,Merton,Newham,Redbridge,RichmonduponThames,Southwark,Sutton,TowerHamlets,WalthamForest,Wandsworth,Westminster
Greenwich,0.01738922817805429,0.0337588637630203,0.015446161524648647,0.03589707590974574,0.017773713671002576,0.033220052253787456,0.02790842044895532,0.025747508932628248,0.03602529656066413,0.02871864996295488,0.010620877689067594,0.02604616500010812,0.035709270284907405,0.030022791211176625,0.03509570376742567,0.02018603759538968,0.034231467341534406,0.035277769938387264,0.03009104558688221,0.0349439556892329,0.0338567201389349,0.029170063331676467,0.018292823156028506,0.03289150039293521,0.015899321160460483,0.019410934639965943,0.03528423879330783,0.025045167717882004,0.030685938410924776,0.021636201661904202,0.023538777099539505,0.03364892145232915,0.03342944068161311
Hackney,0.02661082729370593,0.02727768418528835,0.027822920552871187,0.031204750748591102,0.02842446860481103,0.02373081279531715,0.01735907741568487,0.02980966700672615,0.0333429430188379,0.02140748838512542,0.02552765667214829,0.010520158304325743,0.030846024362700494,0.017790950005725663,0.03214830458353416,0.02783349676627219,0.03317508475197446,0.03394190404248829,0.01678949340180468,0.0289459045823176,0.03347560653099778,0.02630810571017333,0.024627126112234186,0.031779075928493966,0.022514726317411894,0.024170545202470358,0.03376772631194655,0.02226616482917667,0.03176445805567274,0.01683611566927101,0.01840738037913328,0.03035312827727906,0.02559264600598033
HammersmithandFulham,0.02988587166479283,0.02056799500230558,0.029488249587193725,0.01687873938136211,0.027934980950163106,0.019175539677591457,0.02413988609515069,0.024394004026584468,0.018638202648055307,0.025757197184807738,0.0294430232859786,0.02653274470766132,0.008803410325290953,0.024425500179075767,0.02068843592634268,0.029155395699466846,0.02190950904425471,0.01991835390705555,0.02335635182270206,0.011901504000618726,0.019048979942264743,0.021439934686249586,0.02747782802169756,0.01759374255461112,0.02960841709747074,0.02960084181687144,0.01802389381544325,0.024981957519679108,0.020907976926060532,0.027598410092317453,0.02833744330522542,0.014279553900811866,0.01690030170308664
Haringey,0.029255858123331868,0.022599782181591237,0.03077557051648841,0.028262954124429973,0.0317126663424589,0.020668537139092856,0.02269550273787782,0.03251974391470283,0.03136541189249649,0.017558986683952314,0.029778585179499075,0.01866704931273737,0.029396059231954767,0.011863033347045318,0.029604571371448528,0.029637312664258186,0.03159094211021225,0.032647151951932324,0.017505682736366865,0.027744926342918322,0.033293831611151896,0.029278552941437365,0.029630948786985883,0.03255249566548937,0.027168450387788135,0.026802782002765695,0.032822164880742605,0.027436628256911094,0.03313086108684871,0.024361450325868502,0.021069157670415433,0.030806656524262704,0.024797991179571512
Harrow,0.045381182505586155,0.027545106801352554,0.045591676442772136,0.022003955224419846,0.0453455317009232,0.037644886919350716,0.04507865412395043,0.04356005654474498,0.019711117071083455,0.03778622727811999,0.04746283059664477,0.04507478422151563,0.03302263144228344,0.039934944977137066,0.011710660571375308,0.04299657783695744,0.020303726940739484,0.024135421590670756,0.04225064795044839,0.03614430521799999,0.032573221919095896,0.044337530956857676,0.04757205750225157,0.038532790261864805,0.04736648006596754,0.04508696842192912,0.028311326118534434,0.04662446938903033,0.03975563948491486,0.047256772471460685,0.04435099028434825,0.03875653239977079,0.03903386834980149
Havering,0.016307035526124128,0.04233612193073555,0.02022863685244152,0.04548680812981687,0.02926329886623544,0.045063203903304205,0.04198742199867783,0.03837115563089545,0.04507482466760564,0.035276439405689385,0.027055332849135097,0.03822208554185582,0.04754753289152297,0.04002174272003004,0.04283619824210675,0.009545890548042361,0.04130828318196507,0.04402142989734137,0.042390141538733696,0.04741020287398349,0.04395295982111613,0.04376877642010616,0.03515836724754151,0.04521895888243241,0.027808868149702265,0.022036420691891295,0.045130592853540034,0.04059556518960884,0.042463238144587884,0.03625235922910018,0.031421707059874744,0.04661155593401455,0.046298755523525255
Hillingdon,0.052051223193739476,0.038922587955971866,0.05166503891652802,0.03330857028196649,0.05098629841544943,0.04808405960068029,0.05451948877759266,0.04883332550639526,0.02496316112560071,0.04703770250575842,0.05455232013651746,0.05461832093346888,0.04144042437580095,0.05009610404290511,0.02353404062031284,0.04875579844058204,0.012574946851417095,0.022913979587638817,0.052342924653814175,0.04525341958085646,0.03448297536771543,0.05222052631140489,0.055010495473896574,0.04387623728129592,0.05526902968666368,0.05253764022132677,0.030321621215871557,0.05501068679851466,0.04410398770545992,0.05607924928982208,0.05309829532481631,0.04587259703749258,0.0487236953454711
Hounslow,0.04418099001329728,0.033146218441679844,0.04341622581991177,0.026323001768680254,0.041814153220079434,0.03810744443354391,0.04361706381980123,0.038252631991936695,0.0186437078828658,0.04036495050980782,0.045204409740325906,0.04484372173894743,0.02932018162476482,0.04155668450703814,0.02386174263861693,0.04185637582342796,0.019464196218679834,0.013165598116934105,0.042306229446951,0.033500139574423576,0.023224222129524647,0.04031532764441937,0.044458902844578575,0.0316274220937614,0.04607434876397817,0.04461409590815427,0.018198044659458217,0.04372376146521339,0.032859099152567364,0.045814805848244405,0.044708434629171276,0.03332948207617328,0.03749353024397013
Islington,0.02474265885966907,0.02009531785984605,0.025365078198319697,0.023283469627374778,0.02519672162192736,0.014587762352905037,0.013117119946327582,0.024846091571710065,0.025675809530814955,0.018385113047188796,0.024016204613990965,0.014206831892164151,0.02250595424068584,0.013188831439751438,0.02493608013731025,0.025167990787647046,0.0262796185524174,0.026554198493921714,0.008735606437640606,0.02047897942813761,0.026287368213581068,0.020477061372150624,0.022436279153062517,0.024650258953785083,0.022461243229429717,0.023211641567757586,0.02620865336156175,0.018989667898045102,0.025377701583722143,0.01826442273709406,0.01944026170816824,0.022749160129899224,0.01698607090863439
KensingtonandChelsea,0.03233544122333618,0.02230738186909613,0.03203169406310984,0.02018662265214392,0.030413019858996384,0.01834856334589591,0.02413104919049588,0.026812139269999997,0.022912578118420127,0.027318603996225394,0.031603404502786744,0.02729688877451511,0.013051498062235945,0.025098720489905673,0.02428419400191766,0.03179901018654898,0.025836663936759194,0.024284681281813807,0.023244519047449275,0.010081327747240907,0.023306144736726046,0.02187616270806929,0.029149607087616755,0.02079431398752174,0.03153461979721096,0.03179472292770078,0.022627502546988924,0.02568179794154142,0.023971974495451263,0.028712838098192736,0.029940148055048296,0.01649132048051362,0.014674935625030652
