borough_new,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
Islington,0.021361471167402578,0.01447141587563528,0.024127416450241006,0.0181037595831272,0.02561477458786939,0.007314500338119449,0.00794762997740632,0.026431027680887807,0.022921613828817317,0.014401853381676058,0.021870868256852,0.007159123583998542,0.018090445575003403,0.007729147456239363,0.020908386589509127,0.022310440571337638,0.024644851250833,0.025103647322357644,0.003159363591405775,0.015484577899764469,0.02683284438181472,0.01922135165616648,0.02087564951140642,0.02517221656126172,0.01720942181314932,0.018177012499288502,0.025352403906990038,0.01648002954176962,0.02695358684956031,0.012148696139793599,0.012970204857357904,0.021396973138858483,0.01097446995332242
KensingtonandChelsea,0.031640786889302594,0.019825702949160886,0.030996636085293346,0.014402135642552515,0.02952349511297152,0.012517717982862595,0.01687059295453534,0.024735958858547447,0.016004746344616076,0.025987078248384782,0.029436411321609866,0.022546878887935204,0.005950242529361698,0.02178579871281657,0.020573291028332524,0.03179871000186688,0.021359862102186596,0.01823123592794933,0.017435673134339774,0.003906898738246531,0.0197780803982229,0.016036846574552416,0.025822345330056076,0.01714667305169884,0.029377560350376093,0.030695148033187722,0.016899420434137506,0.019414476117320015,0.022044275391902686,0.023989582353740217,0.02771836758264143,0.011070406826945708,0.007386276325753035
KingstonuponThames,0.04055467323121574,0.03448291872154084,0.03660963700480699,0.02719558787948823,0.027979425603718588,0.03594016427847404,0.03833205071495498,0.01941675725323508,0.019927384900573133,0.040101705908865054,0.03827222431701835,0.042519776652807297,0.021829359422891288,0.041298733168534614,0.026553672592245274,0.038500314838436765,0.01996500408234582,0.012815019888473727,0.04002955519166551,0.02592539076371106,0.0030712335805946765,0.025621044004477195,0.03336756823276085,0.010763965235383463,0.04252716077688247,0.042492706427184765,0.007814459088494067,0.03320724943726359,0.011568426629103054,0.04131956417249197,0.04374917148755161,0.017176049451755947,0.03183120713854344
Lambeth,0.032436978271400414,0.034253674315249436,0.0281730583591208,0.03148619271339273,0.023769324687747086,0.02549205600358968,0.017992426590018856,0.018477798715491024,0.031022299254520366,0.03578370805757078,0.024787445629925235,0.027086750594272745,0.02185790238820922,0.03185669399570104,0.03518440614251648,0.03394649436645855,0.03378026874642046,0.029426280828165265,0.02547155335301579,0.01932286480310562,0.023584971185662707,0.005544631169016365,0.017185848898721767,0.015913527489990482,0.02851368236508467,0.034010332712869996,0.02622468665561477,0.011132758484038175,0.018790736496703073,0.022776519544841854,0.0335671901376708,0.012819690552656757,0.018800131390321974
Lewisham,0.021093508013490952,0.035651277554618,0.015522519358325637,0.03698771120797057,0.013025948676589282,0.030731152528809237,0.020118633641338816,0.016411896363456465,0.03677309792454081,0.03220379327165233,0.01086619330448071,0.023640151481751588,0.03225741376698038,0.030828234905496438,0.0376136397007047,0.023370444052995043,0.03648456846144965,0.03501010588088183,0.027108383585708933,0.029771629369773032,0.02879825255458464,0.01593136973900161,0.004474385163224977,0.02386445016215543,0.01716338269647423,0.023942386527266275,0.03308359456176494,0.01078983091395074,0.021772562000073117,0.015609489775660115,0.02631519138316986,0.024621616028536176,0.027986705529413586
Merton,0.04133763791284627,0.03944023573455172,0.03567294382895083,0.032818351214615106,0.026198210934357993,0.035992868348242196,0.03434017400403473,0.015483658570196642,0.027911968236552554,0.04374565046029909,0.0355379811136677,0.041425213681187636,0.02253445650974903,0.04284332980044117,0.0343559444480755,0.040658529672985805,0.029324875386843634,0.02264341801025125,0.039164903839879986,0.02458371132320196,0.011838509863523963,0.017139003073568783,0.027335472677526704,0.004572971390878074,0.0409331024011241,0.04384113938383994,0.016812160225072256,0.02655956654134508,0.00919436902998548,0.03809833547537695,0.04491578776179556,0.011412154309783299,0.029462070966128715
Newham,0.01119062838584287,0.036127011516028505,0.016390221741316706,0.042523716321379176,0.02490428176292446,0.033496166252481016,0.02373357519514038,0.03373810844226615,0.04502888466926456,0.025210849790786905,0.012309650777493245,0.017711188070199134,0.0427222735137163,0.025653063205371664,0.04189873347968072,0.016107992289038024,0.04355424405579361,0.04522777519949229,0.025903204047369306,0.039954239086799195,0.04389465201630174,0.033259925386603724,0.020907522055126214,0.04174610223851645,0.00394113254385456,0.01075779282983359,0.04586206579962645,0.0249127518945375,0.03918954306432104,0.013124370883532037,0.014434134951644943,0.04130373768537431,0.03545530750638673
Redbridge,0.010087283626226603,0.03954718882103125,0.02165186046080396,0.05022777418667552,0.03411732410033812,0.04254778381615127,0.03680235269868691,0.04523722364582293,0.054267875365953636,0.02340454437258966,0.02282562228480871,0.025704540904008574,0.05474100800018543,0.02848903107431754,0.04663478329591874,0.013896509546417902,0.04975023098685998,0.05425472829003016,0.034767736602403926,0.052844971559031284,0.054449965732207034,0.04835927288244061,0.03485797074543428,0.054666011983526906,0.013949576117852774,0.005274745769485557,0.056050912699473994,0.04013283931136019,0.05097663791465772,0.025944741370002338,0.013072434118502993,0.055100120427810984,0.04809164534014962
RichmonduponThames,0.04531628539944425,0.031786125664238774,0.042456811218284686,0.02235852361159762,0.03630367858468106,0.03427480481387608,0.04034870692825235,0.028165331450055887,0.013867116354648405,0.040473245056519884,0.0438064467652183,0.04443953622961499,0.01838703488379579,0.04109668122092996,0.022308338278271472,0.04295657973846072,0.01618149742013795,0.007449395849040541,0.04024599927191992,0.023792176115220626,0.01044732666616268,0.030609574217530577,0.040432006812828436,0.017852220314037808,0.04737084416403553,0.04611292533730882,0.0052303434004576975,0.03824701793705133,0.020622588495945022,0.0455635969266028,0.045769172164953104,0.01984926250471943,0.03067286042187821
Southwark,0.026131411258147545,0.032931518602002115,0.02349034237976241,0.03330549727537655,0.022388132561316536,0.023722625500591166,0.01149776182207598,0.022324759194583224,0.03437680290017483,0.0314602608645305,0.01852944286525026,0.01934545155803442,0.026527574435975986,0.026936606764053423,0.036226662153153594,0.02892045807277378,0.03646752059002388,0.03429688387155023,0.020349680936226393,0.02271188050272028,0.030085469885504486,0.011403072302186984,0.01231377912654594,0.023925305990712964,0.020210435594498512,0.027208372137522453,0.032044615274688035,0.005522602446949082,0.025023963823651598,0.013039799344499822,0.0264873716352888,0.021037427404988672,0.019808945432030725
Sutton,0.040728229935760224,0.04293735293432425,0.03383971120944951,0.03749878123205703,0.021715615281601798,0.04195087958412589,0.03944727352400609,0.010399196599320289,0.03137125686781313,0.04566571088744422,0.03466571769695445,0.045156448630812376,0.029743808644526765,0.0466642152987277,0.03674437223955092,0.039132334384356565,0.030433930856311048,0.024754142763112646,0.04432142530901781,0.03223052304255774,0.01160703593022326,0.02239461024289263,0.027699744075991857,0.009357036437065112,0.04181318615548515,0.04400993003740946,0.019394599367463274,0.030453739474371293,0.003474191540081428,0.04100086987868719,0.04677192094706743,0.019202838452436807,0.03659723633851883
TowerHamlets,0.016378644183422005,0.02416708625716679,0.018245746840330763,0.027705303716971393,0.020922842108658135,0.018161510451841015,0.008426206590923122,0.0242355085500543,0.030064416305292812,0.020198893405199054,0.01400434131417887,0.008242180686872408,0.02540796052572279,0.016504464124967318,0.02942416645851076,0.019225029468866523,0.03114864369435514,0.030957296375300442,0.012677615767208767,0.022484121017645284,0.030224237265607055,0.018295426640151144,0.013669758463893608,0.026914305212989965,0.009933952283217912,0.015478935531961531,0.030863688456304626,0.011632071788114482,0.02716614915187641,0.0036350523668711183,0.013720564096818186,0.024680803111850422,0.01822645034587994
WalthamForest,0.018070542122562105,0.027359760252634795,0.02611206068135634,0.0370822334328811,0.03412412468556551,0.02788836408907367,0.02534213092670919,0.04085712947748356,0.042613944919410014,0.014396252669325997,0.024551599416017762,0.013442295702547269,0.04137764231672734,0.015503304063034727,0.03596731883582334,0.020416836161803474,0.040373311810936396,0.04428236021180005,0.02081744314293004,0.03908091493654655,0.04573650019308992,0.038766777067938324,0.0310787151686539,0.045457583306376864,0.015031863672650832,0.011263559263533831,0.045615613589759664,0.032134185461821646,0.04441521744589259,0.01869085434451724,0.004901698517949857,0.04399538087993921,0.03409722954694788
Wandsworth,0.03683027232026699,0.031687380605326276,0.03309615134998348,0.025582300239420187,0.027823214141069585,0.025249149297258643,0.02436939503737065,0.019793100054400336,0.02355097508657585,0.036440050996756505,0.0312600094663319,0.03195738914418058,0.014096898431252874,0.03348201356066999,0.029612710026758124,0.03706146776346127,0.027341069448957932,0.02135173870785823,0.02858108080743992,0.014353845772863472,0.01642353617595411,0.01158454487018433,0.02477815842945971,0.010005803037937452,0.03490179396022036,0.03803292432002344,0.017420746294335147,0.019839352054106998,0.016037119712875268,0.030124991727880353,0.037215253702339704,0.0055547393635703496,0.018282436513280712
Westminster,0.0325486004261377,0.020216454806973306,0.032640212197135865,0.016909366999014148,0.031801691164147744,0.009568295727549598,0.014412664076875413,0.02864597816109899,0.02087908008064291,0.025632416923082164,0.030449464413678535,0.02026602858918048,0.011157294916648103,0.019797470564015537,0.02320487933734783,0.033062135536650196,0.02573267061748629,0.0234925830065964,0.014167075030497916,0.007559115797920425,0.025410515291975196,0.017688443484015617,0.026611166714202657,0.022394039316487615,0.02921145121741236,0.030815269453463436,0.0226597917650473,0.01926840399446159,0.02689268030835807,0.02247774364439986,0.02653194217821018,0.01614269774093856,0.005503534746917128
